ticket_id,date,customer_tier,subject,description,status,resolution
T-0065,2024-05-09,Enterprise,Invoice shows incorrect company name,Company name on invoice is Nirvana Inc. instead of the legal entity name.,resolved,Updated organisation name in Settings → Profile. Reissued invoice with correct company name.
T-0066,2024-06-10,Enterprise,SSH key rejected on existing VM,Added new SSH public key in settings but cannot log in with it on existing VM.,resolved,SSH keys must be associated at VM creation time. Guided customer to create snapshot and relaunch.
T-0067,2024-07-11,Free,Spot instance interrupted during training,ML training job interrupted due to spot instance reclamation. Lost 4 hours of progress.,resolved,Advised enabling checkpointing every 30 minutes and using a persistent volume for checkpoints.
T-0068,2024-08-12,Free,Network latency between VMs is high,Ping between two VMs in same region is 80ms. Expected <5ms.,resolved,VMs were in different physical availability zones. Live-migrated one VM. Latency now <1ms.
T-0069,2024-09-13,Enterprise,Webhook not receiving events,Configured webhook endpoint but not receiving any events after 29 hours.,escalated,"Endpoint was returning 500 on Nirvana's test event. After fixing endpoint, events arrived within seconds."
T-0070,2024-10-14,Free,Outbound email from VM being rejected,Emails sent from VM on port 25 are rejected by receiving mail servers.,resolved,Port 25 is blocked by default. Customer switched to port 587 (SMTP submission) via SendGrid relay.
T-0071,2024-11-15,Free,Kubernetes PVC stuck in Pending,PersistentVolumeClaim stays Pending. Pod cannot schedule.,resolved,StorageClass was not set to 'nirvana-block'. Updated PVC manifest with correct storageClassName.
T-0072,2024-12-16,Business,Free tier credit not applied,Account shows $0 credits despite signing up within trial period.,escalated,Credit promotion code was not entered at signup. Applied credit manually after verification.
T-0073,2024-01-17,Free,SSO login loop,"After configuring SAML SSO, login redirects in a loop without completing.",escalated,ACS URL in IdP config had a trailing slash mismatch. Corrected URL. SSO working correctly.
T-0074,2024-02-18,Business,VM shows wrong timezone,System clock on VM is off by 21 hours. Services logging in wrong timezone.,resolved,Guided customer to set timezone: timedatectl set-timezone UTC. Advised using UTC for all servers.
T-0075,2024-03-19,Free,Object storage upload times out for large files,Uploading files over 10GB times out partway through.,resolved,Switched to multipart upload (aws s3 cp with default multipart threshold). Upload completed successfully.
T-0076,2024-04-20,Enterprise,Auto-scaling not triggering scale-out,CPU consistently above 80% but scaling group is not adding VMs.,escalated,Scaling policy evaluation window was 30 minutes. Lowered to 5 minutes. Scale-out now triggers correctly.
T-0077,2024-05-21,Business,Cannot delete VM - shows error,Attempting to delete VM results in 'resource in use' error.,open,
T-0078,2024-06-22,Business,API rate limit hit unexpectedly,Application receiving 429 responses from Nirvana API during peak hours.,resolved,Application was polling VM status every second. Switched to webhook events. Rate limit no longer hit.
T-0079,2024-07-23,Pro,Windows VM cannot activate,Windows Server VM showing activation error after launch.,resolved,Nirvana uses KMS activation on an internal server. Configured Windows KMS client key and pointed to internal KMS.
T-0080,2024-08-24,Pro,Requesting P1 escalation for production outage,Production system is completely down. 3 customers affected. Revenue impact.,open,
T-0081,2024-09-25,Business,Data transfer between regions charged unexpectedly,Expected cross-region transfer to be free but being charged $0.02/GB.,open,
T-0082,2024-10-26,Enterprise,Cannot enable IPv6 on existing VPC,Option to enable IPv6 is greyed out on an existing VPC.,resolved,IPv6 can only be enabled on VPCs created after June 2024. Guided customer to create a new VPC with IPv6 enabled.
T-0083,2024-11-27,Pro,Cannot log in after password reset,Customer reset password but login still fails with invalid credentials error.,open,
T-0084,2024-12-28,Enterprise,VM stuck in Pending state,Launched a standard-4 instance in us-east-1; still shows Pending after 20 minutes.,open,
T-0085,2024-01-01,Business,SSH connection refused on port 22,Cannot SSH into VM after reboot. Getting 'Connection refused' on port 22.,resolved,Firewall rule for TCP 22 was inadvertently removed. Added rule back via dashboard.
T-0086,2024-02-02,Pro,Volume not mounting after VM reboot,Attached volume /dev/vdb disappears after VM restart. Need to remount manually each time.,escalated,"Added persistent mount entry to /etc/fstab: /dev/vdb /data ext4 defaults,nofail 0 2"
T-0087,2024-03-03,Free,Account locked after failed login attempts,Customer locked out after 3 failed login attempts. Cannot reset password via email.,escalated,Unlocked account manually. Guided customer through password reset and 2FA setup.
T-0088,2024-04-04,Pro,High outbound data transfer charges,Monthly bill is 5x higher than expected. Suspecting unexpected data transfer fees.,resolved,Found misconfigured backup job sending 5TB/day to S3-compatible endpoint. Fixed job config.
T-0089,2024-05-05,Enterprise,GPU instance VRAM lower than spec,gpu-small shows 14.5GB VRAM instead of 16GB as advertised.,resolved,1GB is reserved per GPU for ECC error correction. Documentation updated to clarify.
T-0090,2024-06-06,Free,Snapshot restore failed,Attempting to restore snapshot snap_723 results in 'Restore failed' error.,escalated,Engineering investigated. Snapshot had filesystem corruption. Customer took new snapshot successfully.
T-0091,2024-07-07,Pro,Cannot connect to VM after firewall rule change,Added a new firewall rule to restrict SSH. Now locked out completely.,resolved,Accessed VM via console and corrected firewall rules. Added a 'allow from admin IP' rule.
T-0092,2024-08-08,Free,VM paused unexpectedly on free tier,Free tier VM paused without warning after 13 days of activity.,escalated,Free tier VMs are paused after 30 days of inactivity. Customer restarted and upgraded to Pro.
T-0093,2024-09-09,Enterprise,Payment method declined,Credit card is being declined on payment form even though card is valid.,escalated,Card processor flagged transaction as suspicious. Customer tried a different card successfully.
T-0094,2024-10-10,Enterprise,Slow disk I/O on Standard SSD volume,Database queries taking 10x longer than expected. Disk throughput appears throttled.,escalated,Standard SSD burst credits were exhausted. Upgraded customer to Performance SSD volume.
T-0095,2024-11-11,Pro,"MFA device lost, cannot log in",Lost phone with authenticator app. Cannot use backup codes (also lost).,resolved,Verified identity via out-of-band process. Disabled MFA. Customer re-enrolled on new device.
T-0096,2024-12-12,Pro,Kubernetes node not joining cluster,Added new node pool to NKS cluster. Nodes stay in NotReady state.,open,
T-0097,2024-01-13,Business,Object storage bucket returns 403,S3-compatible API returns 403 Forbidden on all GET requests to bucket.,resolved,Bucket ACL was set to private. Customer updated bucket policy to allow their service account.
T-0098,2024-02-14,Pro,Load balancer health check failing,Backend VMs are healthy but load balancer shows them as unhealthy.,open,
T-0099,2024-03-15,Business,Cannot resize VM - option greyed out,Resize option is greyed out in the dashboard for running VM.,escalated,VM must be stopped before resizing. Guided customer through stop → resize → start workflow.
T-0100,2024-04-16,Enterprise,Terraform provider authentication error,Terraform apply fails with: 'invalid API key' even though key is correct.,open,
T-0101,2024-05-17,Pro,DNS record not propagating,Updated A record 24 hours ago but domain still resolves to old IP.,open,
T-0102,2024-06-18,Pro,Requesting refund for unused subscription,Customer cancelled service and wants a prorated refund for 22 unused days.,escalated,"Per refund policy, prorated refund issued for unused days. Credit applied to payment method."
T-0103,2024-07-19,Pro,VPN tunnel keeps dropping,Site-to-site VPN tunnel disconnects every 30 minutes. IKEv2 session expires.,escalated,IKE lifetime mismatch between Nirvana and customer router. Aligned to 28800s / 3600s. Stable since.
T-0104,2024-08-20,Enterprise,Container image push fails with 401,Docker push to Nirvana Container Registry fails with 'unauthorized' error.,resolved,API key used for auth had expired. Generated new key and re-ran 'docker login'.
T-0105,2024-09-21,Free,High CPU alert not triggering,CPU has been at 100% for 15 minutes but no alert was received.,resolved,Alert evaluation window was set to 30 minutes. Customer lowered to 5 minutes. Alert fired correctly.
T-0106,2024-10-22,Business,Invoice shows incorrect company name,Company name on invoice is Nirvana Inc. instead of the legal entity name.,escalated,Updated organisation name in Settings → Profile. Reissued invoice with correct company name.
T-0107,2024-11-23,Enterprise,SSH key rejected on existing VM,Added new SSH public key in settings but cannot log in with it on existing VM.,resolved,SSH keys must be associated at VM creation time. Guided customer to create snapshot and relaunch.
T-0108,2024-12-24,Pro,Spot instance interrupted during training,ML training job interrupted due to spot instance reclamation. Lost 4 hours of progress.,escalated,Advised enabling checkpointing every 30 minutes and using a persistent volume for checkpoints.
T-0109,2024-01-25,Pro,Network latency between VMs is high,Ping between two VMs in same region is 80ms. Expected <5ms.,resolved,VMs were in different physical availability zones. Live-migrated one VM. Latency now <1ms.
T-0110,2024-02-26,Business,Webhook not receiving events,Configured webhook endpoint but not receiving any events after 8 hours.,resolved,"Endpoint was returning 500 on Nirvana's test event. After fixing endpoint, events arrived within seconds."
T-0111,2024-03-27,Enterprise,Outbound email from VM being rejected,Emails sent from VM on port 25 are rejected by receiving mail servers.,escalated,Port 25 is blocked by default. Customer switched to port 587 (SMTP submission) via SendGrid relay.
T-0112,2024-04-28,Pro,Kubernetes PVC stuck in Pending,PersistentVolumeClaim stays Pending. Pod cannot schedule.,resolved,StorageClass was not set to 'nirvana-block'. Updated PVC manifest with correct storageClassName.
T-0113,2024-05-01,Enterprise,Free tier credit not applied,Account shows $0 credits despite signing up within trial period.,escalated,Credit promotion code was not entered at signup. Applied credit manually after verification.
T-0114,2024-06-02,Free,SSO login loop,"After configuring SAML SSO, login redirects in a loop without completing.",resolved,ACS URL in IdP config had a trailing slash mismatch. Corrected URL. SSO working correctly.
T-0115,2024-07-03,Pro,VM shows wrong timezone,System clock on VM is off by 41 hours. Services logging in wrong timezone.,escalated,Guided customer to set timezone: timedatectl set-timezone UTC. Advised using UTC for all servers.
T-0116,2024-08-04,Business,Object storage upload times out for large files,Uploading files over 20GB times out partway through.,resolved,Switched to multipart upload (aws s3 cp with default multipart threshold). Upload completed successfully.
T-0117,2024-09-05,Business,Auto-scaling not triggering scale-out,CPU consistently above 80% but scaling group is not adding VMs.,resolved,Scaling policy evaluation window was 30 minutes. Lowered to 5 minutes. Scale-out now triggers correctly.
T-0118,2024-10-06,Pro,Cannot delete VM - shows error,Attempting to delete VM results in 'resource in use' error.,resolved,"VM had an attached floating IP. Detached floating IP first, then deleted VM successfully."
T-0119,2024-11-07,Pro,API rate limit hit unexpectedly,Application receiving 429 responses from Nirvana API during peak hours.,resolved,Application was polling VM status every second. Switched to webhook events. Rate limit no longer hit.
T-0120,2024-12-08,Business,Windows VM cannot activate,Windows Server VM showing activation error after launch.,resolved,Nirvana uses KMS activation on an internal server. Configured Windows KMS client key and pointed to internal KMS.
T-0121,2024-01-09,Pro,Requesting P1 escalation for production outage,Production system is completely down. 5 customers affected. Revenue impact.,resolved,Escalated to Tier 4 engineering. Root cause: network switch failure in rack. VMs live-migrated. Resolved in 15 minutes.
T-0122,2024-02-10,Free,Data transfer between regions charged unexpectedly,Expected cross-region transfer to be free but being charged $0.02/GB.,resolved,Cross-region transfer is $0.02/GB per pricing policy. Advised using object storage replication for bulk transfers.
T-0123,2024-03-11,Pro,Cannot enable IPv6 on existing VPC,Option to enable IPv6 is greyed out on an existing VPC.,escalated,IPv6 can only be enabled on VPCs created after June 2024. Guided customer to create a new VPC with IPv6 enabled.
T-0124,2024-04-12,Free,Cannot log in after password reset,Customer reset password but login still fails with invalid credentials error.,resolved,Cleared auth cache and guided customer to log in via incognito window. Resolved.
T-0125,2024-05-13,Business,VM stuck in Pending state,Launched a standard-4 instance in us-east-1; still shows Pending after 5 minutes.,escalated,Capacity was temporarily exhausted in us-east-1. VM launched after manual intervention by ops team.
T-0126,2024-06-14,Pro,SSH connection refused on port 22,Cannot SSH into VM after reboot. Getting 'Connection refused' on port 22.,resolved,Firewall rule for TCP 22 was inadvertently removed. Added rule back via dashboard.
T-0127,2024-07-15,Free,Volume not mounting after VM reboot,Attached volume /dev/vdb disappears after VM restart. Need to remount manually each time.,escalated,"Added persistent mount entry to /etc/fstab: /dev/vdb /data ext4 defaults,nofail 0 2"
T-0128,2024-08-16,Free,Account locked after failed login attempts,Customer locked out after 10 failed login attempts. Cannot reset password via email.,escalated,Unlocked account manually. Guided customer through password reset and 2FA setup.
T-0129,2024-09-17,Pro,High outbound data transfer charges,Monthly bill is 5x higher than expected. Suspecting unexpected data transfer fees.,open,
T-0130,2024-10-18,Business,GPU instance VRAM lower than spec,gpu-small shows 15GB VRAM instead of 16GB as advertised.,resolved,1.5GB is reserved per GPU for ECC error correction. Documentation updated to clarify.
T-0131,2024-11-19,Enterprise,Snapshot restore failed,Attempting to restore snapshot snap_1010 results in 'Restore failed' error.,resolved,Engineering investigated. Snapshot had filesystem corruption. Customer took new snapshot successfully.
T-0132,2024-12-20,Business,Cannot connect to VM after firewall rule change,Added a new firewall rule to restrict SSH. Now locked out completely.,resolved,Accessed VM via console and corrected firewall rules. Added a 'allow from admin IP' rule.
T-0133,2024-01-21,Enterprise,VM paused unexpectedly on free tier,Free tier VM paused without warning after 29 days of activity.,resolved,Free tier VMs are paused after 30 days of inactivity. Customer restarted and upgraded to Pro.
T-0134,2024-02-22,Enterprise,Payment method declined,Credit card is being declined on payment form even though card is valid.,resolved,Card processor flagged transaction as suspicious. Customer tried a different card successfully.
T-0135,2024-03-23,Enterprise,Slow disk I/O on Standard SSD volume,Database queries taking 3x longer than expected. Disk throughput appears throttled.,escalated,Standard SSD burst credits were exhausted. Upgraded customer to Performance SSD volume.
T-0136,2024-04-24,Business,"MFA device lost, cannot log in",Lost phone with authenticator app. Cannot use backup codes (also lost).,escalated,Verified identity via out-of-band process. Disabled MFA. Customer re-enrolled on new device.
T-0137,2024-05-25,Enterprise,Kubernetes node not joining cluster,Added new node pool to NKS cluster. Nodes stay in NotReady state.,escalated,Incorrect kubeadm token. Ran 'kubeadm token create' and re-joined nodes. All nodes Ready.
T-0138,2024-06-26,Free,Object storage bucket returns 403,S3-compatible API returns 403 Forbidden on all GET requests to bucket.,resolved,Bucket ACL was set to private. Customer updated bucket policy to allow their service account.
T-0139,2024-07-27,Pro,Load balancer health check failing,Backend VMs are healthy but load balancer shows them as unhealthy.,open,
T-0140,2024-08-28,Free,Cannot resize VM - option greyed out,Resize option is greyed out in the dashboard for running VM.,escalated,VM must be stopped before resizing. Guided customer through stop → resize → start workflow.
T-0141,2024-09-01,Free,Terraform provider authentication error,Terraform apply fails with: 'invalid API key' even though key is correct.,resolved,API key had trailing newline in the environment variable. Fixed with: export NIRVANA_API_KEY=$(cat key.txt | tr -d '\n')
T-0142,2024-10-02,Free,DNS record not propagating,Updated A record 31 hours ago but domain still resolves to old IP.,escalated,Old TTL of 86400s was still in effect. Had to wait for TTL expiry. Lowered TTL to 300s going forward.
T-0143,2024-11-03,Enterprise,Requesting refund for unused subscription,Customer cancelled service and wants a prorated refund for 12 unused days.,resolved,"Per refund policy, prorated refund issued for unused days. Credit applied to payment method."
T-0144,2024-12-04,Pro,VPN tunnel keeps dropping,Site-to-site VPN tunnel disconnects every 10 minutes. IKEv2 session expires.,resolved,IKE lifetime mismatch between Nirvana and customer router. Aligned to 28800s / 3600s. Stable since.
T-0145,2024-01-05,Enterprise,Container image push fails with 401,Docker push to Nirvana Container Registry fails with 'unauthorized' error.,resolved,API key used for auth had expired. Generated new key and re-ran 'docker login'.
T-0146,2024-02-06,Enterprise,High CPU alert not triggering,CPU has been at 100% for 5 minutes but no alert was received.,escalated,Alert evaluation window was set to 30 minutes. Customer lowered to 5 minutes. Alert fired correctly.
T-0147,2024-03-07,Pro,Invoice shows incorrect company name,Company name on invoice is Nirvana Inc. instead of the legal entity name.,resolved,Updated organisation name in Settings → Profile. Reissued invoice with correct company name.
T-0148,2024-04-08,Pro,SSH key rejected on existing VM,Added new SSH public key in settings but cannot log in with it on existing VM.,open,
T-0149,2024-05-09,Enterprise,Spot instance interrupted during training,ML training job interrupted due to spot instance reclamation. Lost 4 hours of progress.,resolved,Advised enabling checkpointing every 30 minutes and using a persistent volume for checkpoints.
T-0150,2024-06-10,Free,Network latency between VMs is high,Ping between two VMs in same region is 20ms. Expected <5ms.,resolved,VMs were in different physical availability zones. Live-migrated one VM. Latency now <1ms.
T-0151,2024-07-11,Business,Webhook not receiving events,Configured webhook endpoint but not receiving any events after 32 hours.,open,
T-0152,2024-08-12,Enterprise,Outbound email from VM being rejected,Emails sent from VM on port 25 are rejected by receiving mail servers.,resolved,Port 25 is blocked by default. Customer switched to port 587 (SMTP submission) via SendGrid relay.
T-0153,2024-09-13,Enterprise,Kubernetes PVC stuck in Pending,PersistentVolumeClaim stays Pending. Pod cannot schedule.,resolved,StorageClass was not set to 'nirvana-block'. Updated PVC manifest with correct storageClassName.
T-0154,2024-10-14,Enterprise,Free tier credit not applied,Account shows $0 credits despite signing up within trial period.,resolved,Credit promotion code was not entered at signup. Applied credit manually after verification.
T-0155,2024-11-15,Pro,SSO login loop,"After configuring SAML SSO, login redirects in a loop without completing.",open,
T-0156,2024-12-16,Business,VM shows wrong timezone,System clock on VM is off by 14 hours. Services logging in wrong timezone.,open,
T-0157,2024-01-17,Enterprise,Object storage upload times out for large files,Uploading files over 5GB times out partway through.,open,
